date,time,co,so2,pm10
1400/01/01,0,1.86496927,6.28530308,19.05747128
1400/01/01,1,,,
1400/01/01,2,1.15383997,4.77139207,32.35057465
1400/01/01,3,1.06151254,3.55153807,17.23850568
1400/01/01,4,1.22617357,4.6162328299999995,14.11781613
1400/01/01,5,0.8831924,3.92338053,26.35057465
1400/01/01,6,1.04309697,4.52820832,22.69642862
1400/01/01,7,0.86664567,4.22534885,27.26000007
1400/01/01,8,1.06895804,4.48435599,27.11781613
1400/01/01,9,1.15038126,5.06790992,28.76436774
1400/01/01,10,1.01084918,5.96827924,23.70689662
1400/01/01,11,0.81955562,8.01167111,45.93678157
1400/01/01,12,0.67759998,6.85159377,37.51666673
1400/01/01,13,0.60150143,6.48652569,30.70000013
1400/01/01,14,0.63160285,4.8490414600000005,27.35000006
1400/01/01,15,0.53766692,2.88959928,18.16666667
1400/01/01,16,0.50947984,2.7264009700000003,14.34999998
1400/01/01,17,0.540655,2.68778064,14.88333337
1400/01/01,18,0.59685173,3.06457676,15.88333337
1400/01/01,19,0.71022177,3.38743977,21.30000003
1400/01/01,20,1.0594208,3.83526276,25.5333333
1400/01/01,21,2.20114622,6.17582031,27.76666673
1400/01/01,22,2.09570565,7.57421915,31.5333333
1400/01/01,23,1.19844376,5.73046656,38.1833334
1400/01/02,0,2.0293021,7.61777325,23.98333327
1400/01/02,1,1.8949549700000001,6.83923272,29.94999997
1400/01/02,2,1.8257223,5.93108038,36.29999987
1400/01/02,3,2.45354327,8.70718833,34.35000006
1400/01/02,4,1.07050171,4.89237052,49.06388887
1400/01/02,5,1.00385778,4.36083798,33.27777767
1400/01/02,6,1.19168292,5.31797836,26.5694445
1400/01/02,7,1.14397327,5.79801873,53.43678157
1400/01/02,8,1.62608134,6.46977627,53.4597702
1400/01/02,9,2.4217135,8.81177694,48.03448296
1400/01/02,10,1.14489383,7.08461638,50.5402298
1400/01/02,11,0.61961293,5.54709566,35.95402304
1400/01/02,12,0.46820875,4.63435888,32.44827557
1400/01/02,13,0.51308985,4.81564744,30.77380959
1400/01/02,14,0.57906943,4.52507798,38.11111101
1400/01/02,15,0.61814101,4.52321259,46.96551736
1400/01/02,16,0.57583243,4.3004532300000005,46.2298851
1400/01/02,17,0.55510523,4.03871391,60.16091951
1400/01/02,18,0.61354811,3.48224252,61.11494255
1400/01/02,19,0.78178866,3.03196247,67.20277786
1400/01/02,20,0.80287185,2.86035299,70.65833346
1400/01/02,21,1.29654842,3.10722029,66.56944466
1400/01/02,22,2.52043581,6.58979426,71.31666692
1400/01/02,23,1.9651945899999999,6.45258872,86.17777761
1400/01/03,0,2.98046847,9.0682805,80.02500025
1400/01/03,1,2.99720597,10.58498625,95.10769243
1400/01/03,2,2.23305392,8.33440149,87.07471275
1400/01/03,3,2.02635498,7.54429706,121.16964277
1400/01/03,4,1.65915474,7.59498103,106.0625
1400/01/03,5,1.5196985600000001,6.86988044,91.36781629
1400/01/03,6,1.27333806,6.83722885,88.19540215
1400/01/03,7,0.88960582,4.663438,73.56321843
1400/01/03,8,1.15648408,4.73840857,70.19540215
1400/01/03,9,1.22557104,5.77121725,63.87586212
1400/01/03,10,0.81711812,4.94776424,58.39080461
1400/01/03,11,0.61114589,4.64798764,64.31609186
1400/01/03,12,0.50194618,4.20085907,69.87356313
1400/01/03,13,0.42636183,3.59284041,78.41379293
1400/01/03,14,0.62285221,3.4728961,96.14367803
1400/01/03,15,0.62573661,3.15226362,81.75862058
1400/01/03,16,0.61256734,2.90505294,81.80459785
1400/01/03,17,0.63702634,2.79175868,83.80459785
1400/01/03,18,0.74931401,2.81296992,84.90229861
1400/01/03,19,0.75475256,3.23262658,98.53448296
1400/01/03,20,0.95377703,3.1943299,115.33908017
1400/01/03,21,1.40064425,3.746059,129.67241414
1400/01/03,22,1.02778474,4.26835477,140.95689646
1400/01/03,23,0.69685166,3.00254156,137.47413762
1400/01/04,0,0.80657694,3.5353892,103.52380943
1400/01/04,1,1.24827256,4.85723297,87.33333333
1400/01/04,2,1.13319463,5.01295757,86.0
1400/01/04,3,0.96926715,4.69066542,104.09523837
1400/01/04,4,0.90239441,4.71501023,95.14285723
1400/01/04,5,0.77322867,3.83741138,90.3809522
1400/01/04,6,0.86294156,4.55187821,84.5714283
1400/01/04,7,1.21996328,5.36388731,94.85714277
1400/01/04,8,0.70627294,3.71429422,92.3809522
1400/01/04,9,0.49772442,3.44834908,87.66666667
1400/01/04,10,0.68133804,3.62521553,81.38271586
1400/01/04,11,0.5184153,3.26934367,71.05246925
1400/01/04,12,0.55405381,2.9918785100000003,74.2857132
1400/01/04,13,0.46901765,3.58030258,92.66666667
1400/01/04,14,0.42773324,3.57587133,99.4285717
1400/01/04,15,0.44920801,3.35728683,101.8095239
1400/01/04,16,0.50874215,3.38007899,99.29000028
1400/01/04,17,0.78611293,3.81962999,127.95238113
1400/01/04,18,0.99603858,4.79619972,121.04761887
1400/01/04,19,1.62517274,6.42481792,110.04761887
1400/01/04,20,2.02118311,6.40597089,121.66666667
1400/01/04,21,1.95383181,7.30533131,118.47619057
1400/01/04,22,2.09735226,7.26406594,117.09523837
1400/01/04,23,3.15954259,11.18035487,113.3809522
1400/01/05,0,3.7126229,16.31551313,126.5714283
1400/01/05,1,4.0839114,17.05799166,131.6190478
1400/01/05,2,1.95764465,8.42038294,131.09523773
1400/01/05,3,1.45131138,4.81281757,131.90476227
1400/01/05,4,1.38086613,3.62883741,123.83035723
1400/01/05,5,0.29841022,2.52936089,167.47916667
1400/01/05,6,0.23839695,2.35308248,204.67857107
1400/01/05,7,0.41870973,2.28543837,194.38888931
1400/01/05,8,0.48949617,1.95710469,190.27777735
1400/01/05,9,0.78078894,1.7062939,174.88889058
1400/01/05,10,0.56561372,3.26230456,152.38888931
1400/01/05,11,0.29271524,3.94470191,179.12962977
1400/01/05,12,0.41353799,4.22530413,164.22222137
1400/01/05,13,0.45304315,7.49840701,119.31481489
1400/01/05,14,0.95264063,5.35906164,110.64814822
1400/01/05,15,0.71959228,3.89605323,120.88888868
1400/01/05,16,0.56752463,3.61212742,113.83333333
1400/01/05,17,0.59985552,3.34695282,132.05555598
1400/01/05,18,0.55743539,2.86351267,192.98148092
1400/01/05,19,0.57466536,3.0356826,214.42592621
1400/01/05,20,0.72334427,3.10200226,197.88405736
1400/01/05,21,0.87034662,3.11542555,186.01851908
1400/01/05,22,0.82483087,3.0967298,178.64814758
1400/01/05,23,0.85834607,3.25137808,178.0
1400/01/06,0,0.77097635,3.44476604,188.88888931
1400/01/06,1,0.71355216,3.44925326,196.35185242
1400/01/06,2,0.68129365,2.57035869,187.92592621
1400/01/06,3,0.51981359,2.06667998,179.74074046
1400/01/06,4,0.42524038,1.9784174399999999,159.0370369
1400/01/06,5,0.50654174,1.69100026,145.20370356
1400/01/06,6,0.41840773,1.80515532,139.46131007
1400/01/06,7,0.62868754,2.47310161,148.98511887
1400/01/06,8,0.57729889,1.8160426699999999,144.55357107
