date,time,co,so2,pm10
1400/01/01,0,1.08332765,5.0058137,43.58620691
1400/01/01,1,1.08332765,5.0058137,43.58620691
1400/01/01,2,1.6972239999999998,5.10260193,34.827586170000004
1400/01/01,3,1.71026528,4.99454931,36.79166667
1400/01/01,4,0.8654105,4.38245422,20.24137942
1400/01/01,5,0.57440279,3.20652999,17.13440863
1400/01/01,6,0.47974379,3.46056688,14.20689662
1400/01/01,7,0.54649036,3.36169231,14.0
1400/01/01,8,0.87544858,4.26886262,12.13218387
1400/01/01,9,1.25990462,4.82202327,15.72413794
1400/01/01,10,0.59721914,4.24340475,20.66049385
1400/01/01,11,0.61517649,4.43154995,15.41379309
1400/01/01,12,0.67083295,4.37980229,14.06896551
1400/01/01,13,0.50746273,4.0231385,18.65517243
1400/01/01,14,0.54768562,3.87511555,16.19999997
1400/01/01,15,0.55008787,4.15028685,10.41379309
1400/01/01,16,0.51972695,3.88726258,10.0
1400/01/01,17,0.50214535,3.86278397,14.66954025
1400/01/01,18,0.51948763,4.58923395,18.72413794
1400/01/01,19,0.6853121,4.47113983,19.93103441
1400/01/01,20,1.31038624,5.50521529,10.68452374
1400/01/01,21,1.08921441,7.19272407,32.33333333
1400/01/01,22,1.46460591,7.39285628,32.13793119
1400/01/01,23,2.48543022,8.8510288,46.85714277
1400/01/02,0,2.74601444,12.32649358,55.46666654
1400/01/02,1,2.84626158,12.80676198,48.55172412
1400/01/02,2,2.02732246,9.71520205,48.0
1400/01/02,3,1.74130663,7.46193079,34.02678585
1400/01/02,4,1.71776552,8.87920547,34.86206881
1400/01/02,5,1.07783655,7.3644985,35.0
1400/01/02,6,1.46872128,6.89315148,31.26666673
1400/01/02,7,1.42732392,6.28468831,26.34482765
1400/01/02,8,1.79148793,5.62128166,27.86206897
1400/01/02,9,1.78919885,5.10774353,30.73563215
1400/01/02,10,0.53503926,3.05957468,32.86206897
1400/01/02,11,0.24316907,1.60836104,33.0
1400/01/02,12,0.28247166,1.32234307,43.86206945
1400/01/02,13,0.43954614,1.35791392,37.75862058
1400/01/02,14,0.38759238,2.87493849,50.03448264
1400/01/02,15,0.37626744,3.7237099,52.86206881
1400/01/02,16,0.33333037,3.19809272,66.03448264
1400/01/02,17,0.3327216,2.9495641,71.66666667
1400/01/02,18,0.3467776,2.59797563,77.59259288
1400/01/02,19,0.39633722,2.25192712,70.54761887
1400/01/02,20,0.42279373,3.75764145,69.06609217
1400/01/02,21,0.98334518,5.46014857,60.62068939
1400/01/02,22,1.74476405,7.10681375,69.3103447
1400/01/02,23,2.02003172,8.78902499,78.37931061
1400/01/03,0,1.43944891,8.7035741,120.06666692
1400/01/03,1,1.34644805,9.09634789,91.34482765
1400/01/03,2,0.73879472,6.64180907,81.5714283
1400/01/03,3,0.38859023,4.7613322700000005,59.58620707
1400/01/03,4,0.35208883,4.73742644,49.62068971
1400/01/03,5,0.38681643,4.54257671,52.72413794
1400/01/03,6,0.43023802,3.68393278,52.06896559
1400/01/03,7,0.59385724,2.98648143,46.39655177
1400/01/03,8,0.90286611,5.13793262,58.10344823
1400/01/03,9,0.69273359,5.24473667,61.59999975
1400/01/03,10,0.37487743,5.88885208,61.06790129
1400/01/03,11,0.38410838,5.11079729,61.93103441
1400/01/03,12,0.4083312,5.17479849,62.80172443
1400/01/03,13,0.41257956,4.72552454,89.06896528
1400/01/03,14,0.4414019,5.59477139,113.40000025
1400/01/03,15,0.47031853,5.54930309,90.79310354
1400/01/03,16,0.4467495,5.73167721,99.26666641
1400/01/03,17,0.52551621,5.2357324,97.20689646
1400/01/03,18,0.51078157,5.36221174,114.73333359
1400/01/03,19,0.52204545,5.1070807,127.20000013
1400/01/03,20,0.88516277,4.82252987,138.24137878
1400/01/03,21,1.31455832,5.73867198,144.58620707
1400/01/03,22,0.69830748,5.48451328,158.03448232
1400/01/03,23,0.6164162,5.53979035,132.86666616
1400/01/04,0,0.53820643,5.97053524,103.06896528
1400/01/04,1,0.59512424,5.7528824,100.06666692
1400/01/04,2,0.79266006,4.40491152,86.02678553
1400/01/04,3,1.34713732,4.57065262,73.8214283
1400/01/04,4,1.55554883,4.36439586,77.66666667
1400/01/04,5,1.36633173,4.876893,78.93103472
1400/01/04,6,1.38962054,5.86760271,73.40000025
1400/01/04,7,1.32808765,6.52869872,73.93103472
1400/01/04,8,2.19933162,5.96543952,88.0
1400/01/04,9,2.3334583,6.15605736,86.60000038
1400/01/04,10,1.7732437399999998,6.67320311,100.89655177
1400/01/04,11,1.07475302,7.93618218,81.51724116
1400/01/04,12,1.04130784,5.97489548,82.34482574
1400/01/04,13,0.62497846,4.59010631,94.260753
1400/01/04,14,0.62130255,4.14932692,97.79310354
1400/01/04,15,0.56028872,3.79455084,107.33333333
1400/01/04,16,0.56648597,4.20540734,117.3103447
1400/01/04,17,0.53932194,8.54469605,117.06896528
1400/01/04,18,0.7609521,6.16958622,149.58620707
1400/01/04,19,1.11317143,7.76705917,117.55172475
1400/01/04,20,0.83379735,6.00691831,123.40000025
1400/01/04,21,1.57575189,5.1983614,109.10344823
1400/01/04,22,1.99694817,6.7356435900000005,111.73563194
1400/01/04,23,2.05594187,8.17855211,106.41379293
1400/01/05,0,2.4759328,9.36032979,112.53735606
1400/01/05,1,2.12636862,10.76248948,126.96551704
1400/01/05,2,1.02431203,6.9217824100000005,157.79310354
1400/01/05,3,0.78010953,5.29079823,176.80000051
1400/01/05,4,0.27889198,4.2593567,176.13793055
1400/01/05,5,0.24374282,3.59557102,223.62931061
1400/01/05,6,0.27454864,3.09852057,217.6896553
1400/01/05,7,0.46013471,2.05497878,201.12356313
1400/01/05,8,0.65387862,3.4584281,186.03448232
1400/01/05,9,0.86863807,4.19876158,141.0
1400/01/05,10,0.74480923,3.91717567,152.34482702
1400/01/05,11,0.83361752,3.65382636,149.33333333
1400/01/05,12,0.62031962,3.57474036,133.14482727
1400/01/05,13,0.52462658,3.10076201,116.02678553
1400/01/05,14,0.97852058,4.14714613,114.06896528
1400/01/05,15,1.00773682,5.05426292,127.96551704
1400/01/05,16,0.58152448,4.81398769,129.0
1400/01/05,17,0.47304033,3.87615701,195.1790123
1400/01/05,18,0.42899621,3.87178248,236.42241414
1400/01/05,19,0.3223553,3.17782267,234.34482702
1400/01/05,20,0.38922509,3.19193614,280.69540278
1400/01/05,21,0.44263652,2.85627633,215.1034495
1400/01/05,22,0.42452459,3.14063096,199.75862122
1400/01/05,23,0.38160253,3.25834751,205.53735606
1400/01/06,0,0.33362961,2.92869699,217.17241414
1400/01/06,1,0.27638935,2.88005865,219.86781565
1400/01/06,2,0.36730012,3.97324202,219.06896591
1400/01/06,3,0.33136298,4.24038931,203.13333384
1400/01/06,4,0.28855212,4.1666398,188.03448232
1400/01/06,5,0.28547488,4.27992948,177.6896553
1400/01/06,6,0.40339716,4.36951296,176.06388855
1400/01/06,7,0.55404893,4.68374161,189.03448232
1400/01/06,8,0.97938691,4.82138614,188.13218435
1400/01/06,9,0.8398581,4.53341889,192.75862122
1400/01/06,10,0.64675046,4.38815232,202.40000025
1400/01/06,11,0.57031041,4.57679232,166.6896553
1400/01/06,12,0.57430695,4.63378922,161.79999797
1400/01/06,13,0.58936119,4.12111719,133.06896591
1400/01/06,14,0.5164535,3.98127315,100.27586238
1400/01/06,15,0.42678812,4.51569812,88.63888868
1400/01/06,16,0.4471422,4.55040073,68.44827588
1400/01/06,17,0.50807781,4.19306254,71.66954041
1400/01/06,18,0.76470989,4.14567308,71.06896528
1400/01/06,19,0.80386654,4.7044969,81.27298864
1400/01/06,20,0.82773093,4.35854884,91.3103447
1400/01/06,21,1.97314406,5.5966293,82.66666667
1400/01/06,22,3.23734953,9.05447082,102.48275884
1400/01/06,23,2.35249788,8.45066468,110.53333346
1400/01/07,0,2.30487101,9.69905241,96.04761887
1400/01/07,1,1.11959578,9.21272222,108.03448296
1400/01/07,2,0.63560738,5.43819048,117.3839283
1400/01/07,3,0.69234851,4.26772064,115.20535723
1400/01/07,4,0.59358477,3.59043974,149.53333346
1400/01/07,5,0.42380221,3.47342384,147.34482702
1400/01/07,6,0.41270546,2.41623691,165.66666667
1400/01/07,7,0.51342046,1.91925361,226.58620707
1400/01/07,8,0.59545832,3.57326496,264.53571447
1400/01/07,9,0.47989118,3.09566363,271.33908081
1400/01/07,10,0.34999944,2.27133816,272.93103536
1400/01/07,11,0.42616645,2.00860833,248.71839142
1400/01/07,12,0.51945715,2.2144053,233.96551514
1400/01/07,13,0.58639732,2.06068699,209.38793055
1400/01/07,14,0.51252689,2.91122427,215.44827525
1400/01/07,15,0.50743868,2.87153717,216.93333308
1400/01/07,16,0.5214234,3.92219142,217.0
1400/01/07,17,0.48568475,3.76397947,217.93103409
1400/01/07,18,0.48719573,4.21771183,213.31609217
1400/01/07,19,0.52064041,4.4700491,222.3103447
1400/01/07,20,0.48359769,4.53016702,262.125
1400/01/07,21,0.48772011,4.37577681,222.17241414
1400/01/07,22,0.43191814,4.06737332,107.86494191
1400/01/07,23,0.31592681,4.0055178,65.55172412
1400/01/08,0,0.29075009,3.24914529,78.93900409599999
1400/01/08,1,0.31527259,3.32939049,56.75595347
1400/01/08,2,0.36001213,3.3170738,25.88988082
1400/01/08,3,0.35848917,3.06971524,26.86666663
1400/01/08,4,0.34088396,3.23040408,17.68965515
1400/01/08,5,0.35564325,2.98985771,20.73563226
1400/01/08,6,0.37700466,2.79261315,11.68965515
1400/01/08,7,0.66412145,2.99297023,11.93390807
1400/01/08,8,0.77554716,3.52734407,16.65517243
1400/01/08,9,0.83723417,4.6317682300000005,24.09359605
1400/01/08,10,0.6169307,4.09356151,33.37931029
1400/01/08,11,0.66304767,4.83347658,38.65517235
1400/01/08,12,0.66467024,5.15924597,54.87643687
1400/01/08,13,0.70450225,5.31368232,47.20689583
1400/01/08,14,0.71013301,4.88035266,31.65476195
1400/01/08,15,0.63223113,4.1909308,36.58620675
1400/01/08,16,0.65893569,4.48371611,33.26436774
