date,co,so2,pm10
1399/01/01,1.04600847,1.52173698,33.26856294
1399/01/02,0.67971574,1.8420692,28.68789126
1399/01/03,0.75747899,2.19056512,32.46890179
1399/01/04,1.15792556,1.45706761,16.22871197
1399/01/05,1.18631618,1.54704457,20.84696748
1399/01/06,1.07554799,4.37773638,42.90039729
1399/01/07,0.75563026,2.04810772,28.36768502
1399/01/08,0.64899279,1.82847049,26.67932011
1399/01/09,1.09104321,2.02764625,34.4106062
1399/01/10,1.13989965,1.89877531,29.31863017
1399/01/11,0.92281694,1.67070759,23.67285919
1399/01/12,0.50706313,0.92363848,14.55445024
1399/01/13,1.00996998,1.8937718,26.81571314
1399/01/14,1.28437985,1.46552298,52.79201835
1399/01/15,0.93264577,1.4798744,67.10979466
1399/01/16,1.04071309,1.4316027,39.54991227
1399/01/17,1.05092569,1.73508774,16.97107292
1399/01/18,1.50501609,3.96696424,36.9924931
1399/01/19,1.61803221,1.64463163,40.06510128
1399/01/20,1.43497612,1.22743414,26.84732899
1399/01/21,1.35514066,1.30531159,14.43395864
1399/01/22,1.81450092,1.22094527,27.4081191
1399/01/23,1.72504557,1.42414575,37.4603199
1399/01/24,1.50746572,1.58492477,26.30076459
1399/01/25,0.95886784,1.87494338,24.16793584
1399/01/26,1.10404053,1.90053285,37.08805841
1399/01/27,0.96947966,2.98484446,44.95940934
1399/01/28,1.16092241,2.43151347,42.76456875
1399/01/29,0.7806303,2.48276561,32.63703814
1399/01/30,1.563464,2.46576414,26.27627525
1399/01/31,1.18091723,1.68322817,31.69442038
1399/02/01,1.13721418,1.78536592,35.93067796
1399/02/02,1.12602129,2.26724472,39.8896706
1399/02/03,1.20958264,2.03431059,47.03448272
1399/02/04,1.31661361,2.29957437,52.72725694
1399/02/05,1.0425959,1.80310667,50.49035433
1399/02/06,1.10132731,2.28202136,96.98335793
1399/02/07,1.09335515,1.72956548,53.04957294
1399/02/08,0.82778005,1.60750029,46.35883118
1399/02/09,0.85488693,1.5406898,23.70982138
1399/02/10,0.96111543,1.63804012,27.94508826
1399/02/11,1.0301882,1.68390408,27.86395658
1399/02/12,1.18203396,1.43563354,24.08127415
1399/02/13,1.34122545,1.67285589,29.55682859
1399/02/14,1.06377558,2.04371689,31.35997683
1399/02/15,1.08966869,1.92579785,30.70987588
1399/02/16,1.13161975,2.00700465,72.82541404
1399/02/17,0.88216013,1.63054367,119.36108239
